Big	Grande<br>Questa scarpa è più grande dell’altra.<br>This shoe is bigger than the other one.
Balcony	Balcone<br>Ho delle piantine di peonia sul mio balcone.<br>I have some peonies on my balcony.
Candle	Candela<br>C’è un guasto all’impianto elettrico. Meglio accendere una candela.<br>There is a failure in the electrical system. It’s better to light a candle.
Toilet paper	Carta igienica<br>Non c’è più carta igienica in bagno.<br>There is no more toilet paper in the bathroom.
House	Casa<br>Quella casa rosa appartiene a un cantante famoso.<br>That pink house belongs to a famous singer.
Blanket	Coperta<br>Ho freddo. Puoi passarmi la coperta?<br>I'm cold. Can you hand me the blanket?
Kitchen	Cucina<br>"Dov’è Sara?” “In cucina"<br>"Where is Sarah?" "In the kitchen”
Bedroom	Camera da letto<br>La nostra camera da letto è troppo piccola. Ci sta solo il letto.<br>Our bedroom is too small. There is enough space only for the bed.
Shower	Doccia<br>Non ho la doccia in casa, solo la vasca.<br>I don’t have the shower in my house, only the bathtub.
Electricity	Elettricità<br>Il costo dell’elettricità è sempre più alto.<br>The cost of electricity is becoming higher and higher.
Match	Fiammifero<br>Se il tuo accendino non funziona, usa un fiammifero.<br>If your lighter doesn’t work, use a match.
Window	Finestra<br>Guarda fuori dalla finestra. Sta nevicando!<br>Look out of the window. It's snowing!
Garden	Giardino<br>Vorrei comprare una casa con il giardino per far correre il cane.<br>I would like to buy a house with a garden to let the dog run.
Address	Indirizzo<br>"Posso avere il tuo indirizzo?” “Sì, certo. Ecco qui”<br>“May I have your address?” “Yes, of course. Here you are”
Wash	Lavare<br>Ho preso una decisione: oggi vado a lavare la mia macchina.<br>I have taken a decision: today I'm going to wash my car.
Dishwasher	Lavastoviglie<br>Senza lavastoviglie sarei persa.<br>I would be lost without a dishwasher.
Bed	Letto<br>Questo letto è troppo duro. Devo cambiare il materasso.<br>This bed is too hard. I have to change the mattress.
Furniture	Mobili<br>Devo comprare nuovi mobili per la mia casa al mare.<br>I have to buy new furniture for my beach house.
Wall	Parete<br>"Dove devo appendere il quadro?" “Su quella parete"<br>"Where do I have to hang the picture?" "On that wall”
Floor	Pavimento<br>Lavo il pavimento due volte al giorno ed è sempre sporco.<br>I wash the floor twice a day and it is always dirty.
Ceiling	Soffitto<br>Vorrei pitturare il soffitto con un colore diverso. Cosa ne pensi?<br>I would like to paint the ceiling in a different colour. What do you think?
Sweep	Spazzare<br>Spazzare e gettare i rifiuti sono le mie faccende domestiche preferite.<br>Sweeping and throwing the waste are my favourite house chores.
Mirror	Specchio<br>Guardati allo specchio. Hai un aspetto orribile!<br>Look in the mirror. You look horrible!
Statue	Statua<br>All’ingresso della villa troverai una statua in stile classico.<br>At the entrance of the villa you will find a classical style statue.
Alarm clock	Sveglia<br>Stamattina la sveglia non ha suonato e sono arrivato tardi al lavoro.<br>This morning the alarm clock did not turn off and I arrived late for work.
Carpet	Tappeto<br>Non c’è bisogno della sedia. Mi siedo sul tappeto.<br>There is no need for a chair. I’ll sit on the carpet.
Table	Tavolo<br>Apparecchia il tavolo per 10 persone, per favore.<br>Set up the table for 10 people, please.
Cup	Tazza<br>Gradisci una tazza di caffè?<br>Would you like a cup of coffee?
Fan	Ventilatore<br>Meglio accendere il ventilatore, non si respira qui dentro!<br>It's better to turn the fan on, you can’t breathe in here!
Bookshelf	Scaffale<br>"Dov'è il mio libro nuovo?" “Sullo scaffale”<br>"Where's my new book?" "On the bookshelf”
Door	Porta<br>Hai bussato tu alla porta?<br>Was it you knocking on the door?
Bathroom	Bagno<br>Nella sua nuova casa ha voluto un bagno di design.<br>In his new house he wanted a design bathroom.
Floor	Piano<br>“A che piano va?” “Al quinto”<br>"What floor?" “Fifth floor”
Room	Camera<br>Riordina la tua camera, per favore!<br>Tidy up your room, please!
Corner	Angolo<br>Ieri ho urtato contro l’angolo del tavolo.<br>Yesterday I bumped against the corner of the table.
Stove	Fornello<br>Ho dimenticato la pentola sul fornello! Si brucerà.<br>I forgot the pot on the stove! It will burn.
Cloth	Panno<br>Ho pulito i vetri con un panno, ma non sono soddisfatta.<br>I cleaned the windows with a cloth, but I'm not satisfied.
Back door	Porta sul retro<br>Esci dalla porta sul retro. Nessuno ti vedrà.<br>Get out from the back door. Nobody will see you.
Dining room	Sala da pranzo<br>La sala da pranzo è accanto alla cucina.<br>The dining room is next to the kitchen.
Teapot	Teiera<br>Appena arrivo a casa, metto la teiera sul fornello per scaldarmi.<br>As soon as I get home, I’ll put the teapot on the stove to warm myself.
Hair dryer	Asciugacapelli<br>Il mio asciugacapelli si è rotto. Mi potresti prestare il tuo?<br>My hair dryer has broken. Can you lend me yours?
Electric plug	Spina elettrica<br>“Perché la spina elettrica non entra?” "Ci vuole un adattatore”<br>“Why doesn’t the electric plug fit?” “You need an adapter”
Washing machine	Lavatrice<br>Ho acquistato una nuova lavatrice al discount.<br>I bought a new washing machine at the discount store.
Wash clothes	Lavare i vestiti<br>Non ho tempo per lavare i vestiti.<br>I don't have time to wash my clothes.
Microwave	Microonde<br>Uso il microonde solo per scaldare il latte.<br>I use the microwave only to heat the milk.
Power outlet	Presa della corrente<br>Come puoi vedere, c’è una presa della corrente ovunque in casa.<br>As you can see, there's a power outlet anywhere in the house.
Basement	Seminterrato<br>Il bar si trova nel seminterrato.<br>The bar is in the basement.
Downstairs	Al piano inferiore<br>La mensa è situata al piano inferiore.<br>The canteen is downstairs.
Night stand	Comodino<br>Tutte le sere lascio gli occhiali sul comodino.<br>Every night I leave my glasses on the night stand.
Air conditioner	Condizionatore d’aria<br>Senza il condizionatore d’aria, il caldo è insopportabile.<br>Without the air conditioner, the heat is unbearable.
Toilet	Water<br>Chi ha sporcato il water?<br>Who got the toilet dirty?
Liquid soap	Sapone liquido<br>Non uso mai sapone liquido. Uso solo sapone in polvere.<br>I never use liquid soap. I only use powder soap.
Dresser	Cassettiera<br>Ho messo le t-shirt stirate nella cassettiera.<br>I put the ironed t-shirts in the dresser.
Backyard	Cortile sul retro<br>Abbiamo costruito una piscina nel cortile sul retro.<br>We built a swimming pool in the backyard.
Wall clock	Orologio da parete<br>Dove vuoi che appenda il tuo nuovo orologio da parete?<br>Where do you want me to hang your new wall clock?
Coffee table	Tavolino<br>Ho comprato un nuovo tavolino per la cucina.<br>I bought a new coffee table for the kitchen.
Kitchen table	Tavolo da cucina<br>Il mio tavolo da cucina è rotondo e lo voglio sostituire con uno quadrato.<br>My kitchen table is round and I want to replace it with a square one.
Curtain	Tenda<br>Apri la tenda e guarda il sole!<br>Open the curtain and look at the sun!
Dinner table	Tavolo da pranzo<br>Il tavolo da pranzo di Helen può ospitare fino a 20 persone. È enorme!<br>Helen’s dinner table can host up to 20 people. It’s huge!
Knock	Bussare<br>Non bussare alla mia porta! Devi scusarti prima.<br>Don’t knock on my door! You have to apologise first.
Mailbox	Buca delle lettere<br>C'è qualche lettera nella buca delle lettere oggi?<br>Are there any letters in the mailbox today?
Apartment building	Condominio<br>Vivono in un condominio di dieci piani.<br>They live in a ten floor apartment building.
Rug	Tappetino<br>Ho appena lavato il tappetino del bagno. Non camminarci sopra.<br>I have just washed the bath rug. Don’t walk over it.
Painting	Dipinto<br>Di chi è questo dipinto? Non riesco a riconoscerne lo stile.<br>Whose isthis painting? I can’t recognise the style.
Living room	Salotto<br>Mi piace stare seduta in salotto a leggere un libro.<br>I love sitting in the living room and read a book.
Hallway	Corridoio<br>Segui le luci lungo il corridoio.<br>Follow the lights along the hallway.
Apartment	Appartamento<br>Vive nell'appartamento accanto.<br>He lives in the apartment next door.
Home	Casa<br>Adesso è ora di andare a casa.<br>It’s time to go home now.
Sleep	Dormire<br>Nessun problema se non vuoi dormire, ma non fare rumore.<br>No problem if you don’t want to sleep, but don’t be noisy.
Front	Davanti<br>La parte davanti della casa è nuova, mentre quella dietro si sta sgretolando.<br>The front of the house is new, while the back is crumbling.
Wipe	Strofinare<br>Ti dispiacerebbe strofinare il piano di lavoro della cucina?<br>Would you mind wiping the kitchen worktop?
Clean	Pulire<br>Non mi piacere pulire la casa, ma è necessario.<br>I don’t like cleaning the house, but It’s necessary.
Mop	Passare il mocio<br>Posso passare il mocio, dopo che tu hai passato l'aspirapolvere.<br>I can mop, once you have vacuumed.
Vacuum	Passare l’aspirapolvere<br>Non c’è bisogno di passare l’aspirapolvere ogni giorno.<br>There is no need to vacuum every day.
Dust	Spolverare<br>Non mi dispiace pulire la casa, ma odio spolverare.<br>I don’t mind cleaning the house, but I hate dusting.
Landlord	Proprietario<br>Chi è il proprietario di quella casa? Ho sentito che è in vendita.<br>Who’s the landlord of that house? I heard it is on sale.
Refrigerator	Frigorifero<br>Il frigorifero è sempre vuoto. Perché mai?<br>The refrigerator is always empty. Why on earth?
Oven	Forno<br>Fa troppo caldo in casa. Per favore, non accendere il forno!<br>It’s too hot in the house. Please, don’t turn the oven on!
Attic	Soffitta<br>Vive in una soffitta enorme a Milano.<br>He lives in a huge attic in Milan.
Closet	Armadio<br>Chi si nasconde nel tuo armadio?<br>Who’s hiding in your closet?
Lounge	Salotto<br>Trascorro la maggior parte del tempo in salotto a leggere e guardare la TV.<br>I spend most of the time in the lounge reading and watching TV.
Light bulb	Lampadina<br>Ho cambiato la lampadina ieri, ma la lampada non funziona ancora.<br>I changed the light bulb yesterday, but the lamp still doesn’t work.
Lighter	Accendino<br>Perché hai un accendino se non fumi?<br>Why do you have a lighter if you don’t smoke?
Ashtray	Posacenere<br>Hanno rotto il posacenere della mamma giocando a calcio in salotto.<br>They broke their mum’s ashtray while playing football in the lounge.
Can opener	Apriscatole<br>Non riesco ad aprire questa lattina di fagioli. Mi passi l’apriscatole?<br>I can’t open this can of beans. Can you hand me the can opener?
Coat hanger	Gruccia<br>Appendi la tua giacca sulla gruccia laggiù.<br>Hang your jacket on the coat hanger over there.
Lamp	Lampada<br>Quando la lampada è caduta, la casa ha iniziato a bruciare.<br>When the lamp fell down, the house started to burn.
Mat	Stuoia<br>Ho dormito per quindici giorni sulla stuoia quando ero al campo.<br>I slept on a mat for fifteen days when I was at the camp.
Sofa	Divano<br>Dorme sul divano se torna a casa in tarda notte.<br>He sleeps on the sofa if he comes back home late at night.
Rocking chair	Sedia a dondolo<br>Mia mamma ha deciso di vendere la sedia a dondolo di mia nonna.<br>My mum decided to sell my grandma’s rocking chair.
Rent	Affittare<br>Ho deciso di affittare una casa invece di acquistarla.<br>I decided to rent a house instead of buying it.
Elevator	Ascensore<br>Casa mia è al decimo piano e ho paura dell’ascensore!<br>My house is on the 10th floor and I am scared of elevators!
Yard	Cortile<br>La cuccia del cane è nel cortile sul retro.<br>The dog’s house is in the backyard.
Pillow	Cuscino<br>Mi sono addormentato non appena ho messo la testa sul cuscino.<br>I fell asleep as soon as I put my head on the pillow.
Bathtub	Vasca da bagno<br>Voglio sostituire la vasca da bagno con la doccia.<br>I want to replace the bathtub with the shower.
Fireplace	Caminetto<br>Amo stare seduto davanti al caminetto nel freddo inverno.<br>I love sitting in front of the fireplace during the cold winter.
Back	Retro<br>Il tifone ha distrutto il retro della casa.<br>The typhoon destroyed the back of the house.
Key	Chiave<br>La chiave di casa è sotto lo zerbino.<br>The house key is under the doormat.
Outside	Fuori<br>Ti aspetto fuori dalla porta di casa tua.<br>I'll wait for you outside your door.
Inside	Dentro<br>Da fuori la casa è ok, ma dentro è un disastro.<br>From the outside the house is ok, but inside it is a disaster.
Sewing machine	Macchina da cucire<br>La mia macchina da cucire è così vecchia, ma funziona ancora.<br>My sewing machine is so old but it still works.
Athlete	Atleta<br>Conosci Carlo? È un atleta della nazionale di ginnastica.<br>Do you know Carlo? He is an athlete of the national gym team.
Actor	Attore<br>È un famoso attore italiano, che ha interpretato diversi ruoli importanti.<br>He is a famous Italian actor, who has played several important roles.
Actress	Attrice<br>Quella è l’attrice che fa Giulietta in “Romeo e Giulietta”.<br>That is the actress who plays Juliet in “Romeo and Juliet”.
Waiter	Cameriere<br>Cameriere, mi scusi. Potrei avere un caffè?<br>Excuse me, waiter. May I have a coffee?
Engineer	Ingegnere<br>Vorrebbe fare l’ingegnere da grande.<br>He would like to be an engineer when he grows up.
Policeman	Poliziotto<br>Ho chiesto a quel poliziotto cosa fosse successo, ma non può dire nulla.<br>I asked what happened to that policeman, but he cannot say a word.
Director	Regista<br>È un regista molto all’avanguardia.<br>He is a very innovative director.
Secretary	Segretaria<br>Parla con la mia segreteria e lei ti spiegherà tutto.<br>Talk to my secretary and she will explain everything to you.
Artist	Artista<br>Quel quadro è di un giovane artista emergente.<br>That painting is of a budding young artist.
Mechanic	Meccanico<br>Conosci un bravo meccanico? Mi si è rotta l’automobile.<br>Do you know a good mechanic? My car broke down.
Doctor	Dottore<br>Dovrei andare dal dottore. La gola mi fa molto male.<br>I should go to the doctor. My throat hurts a lot.
Driver	Autista<br>Ho chiesto all’autista di fermarsi di fronte all’hotel.<br>I asked the driver to stop in front of the hotel.
Lawyer	Avvocato<br>È un bravissimo avvocato e ha vinto molte cause.<br>He is a very good lawyer and he won many lawsuits.
Farmer	Contadino<br>Il contadino si alza tutte le mattine all’alba.<br>The farmer gets up every morning at dawn.
Singer	Cantante<br>Sogna di fare la cantante un giorno. Dovrà studiare molto.<br>She dreams of being a singer one day. She will have to study a lot.
Homemaker	Casalinga<br>Claudia è una casalinga e si dedica al volontariato.<br>Claudia is a homemaker and is dedicated to volunteering.
Entrepreneur	Imprenditore<br>Come imprenditore non vale molto, ma è una brava persona.<br>As an entrepreneur he is not worth much, but he is a good person.
Voice actor	Doppiatore<br>Chi è il doppiatore di Brad Pitt in quel film?<br>Who’s the voice actor of Brad Pitt in that movie?
Police officer	Agente di polizia<br>Ha dato un pugno a un agente di polizia e lo hanno arrestato.<br>He punched a police officer in the face and was arrested.
Manager	Dirigente<br>La sua ambizione è diventare dirigente nella sua azienda.<br>His ambition is to become a manager in his company.
Nurse	Infermiera<br>Lavora come infermiera nel migliore ospedale della città.<br>She works as a nurse in the best hospital of the city.
Interpreter	Interprete<br>Lavora come interprete durante conferenze internazionali.<br>She works as an interpreter during international conferences.
Conductor	Conducente<br>Il conducente mi ha venduto il biglietto sul treno.<br>The conductor sold me the ticket on the train.
Banker	Bancario<br>Lavora come bancario da quando aveva 19 anni.<br>He has been working as a banker since he was 19 years old.
Writer	Scrittore<br>Sogna di fare lo scrittore, ma fino ad ora non ha scritto nulla.<br>He dreams of being a writer, but so far he has not written anything.
Designer	Designer<br>Come designer è un fenomeno, come persona è orribile.<br>As a designer he is a freak, as a person he is awful.
Construction worker	Operaio edile<br>Un operaio edile è morto in un incidente in cantiere.<br>A construction worker died in an accident at the construction site.
Maitre	Maitre<br>Ha chiesto al maitre il tavolo migliore nel ristorante.<br>He asked the maitre for the best table in the restaurant.
Flight attendant	Assistente di volo<br>È stata assunta per lavorare come assistente di volo.<br>She has been recruited to work as a flight attendant.
Manager	Manager<br>La mia azienda ha assunto un nuovo Marketing Manager.<br>My company recruited a new Marketing Manager.
Mailman	Postino<br>Chiedi al postino se c'è qualcosa per noi.<br>Ask the mailman if there is something for us.
Priest	Prete<br>Suo fratello è prete in Brasile.<br>His brother is a Priest in Brazil.
Cook	Cuoco<br>È stata nominata "Miglior cuoca dell'anno".<br>She was nominated “Best Cook of the Year”.
Programmer	Programmatore<br>Chi è il programmatore di questa applicazione?<br>Who is the programmer of this application?
Job	Lavoro<br>Cambia lavoro ogni due mesi. Mi chiedo quale sarà il prossimo.<br>She changes job every two months. I wonder what will be next.
Soldier	Soldato<br>Mio padre era un soldato durante la Seconda Guerra Mondiale.<br>My father was a soldier during World War II.
Tour guide	Guida turistica<br>La nostra guida turistica ci ha mostrato le migliori attrazioni della città.<br>Our tour guide showed us the best attractions in town.
Waitress	Cameriera<br>Lavora come cameriera in un hotel a cinque stelle.<br>She works as a waitress in a five-star hotel.
Chef	Chef<br>Sta esercitandosi per diventare uno chef famoso.<br>He is practicing to become a famous chef.
Accountant	Contabile<br>Sta studiando per lavorare come contabile.<br>She is studying to work as an accountant.
Medical doctor	Medico<br>Se c'è un medico a bordo, per favore venga alla reception.<br>If there is a medical doctor on board, please come to the reception.
Newspaper publisher	Editore<br>C’è un nuovo editore sul mercato, ma non so il nome.<br>There is a new newspaper publisher on the market, but I don’t know the name.
Clerk	Commesso<br>Il nuovo commesso nel negozio viene dalla Tailandia.<br>The new clerk in the shop comes from Thailand.
Housewife	Casalinga<br>Molte persone non ritengono che essere casalinga sia un lavoro.<br>Many people don’t consider being a housewife a job.
Firefighter	Vigile del fuoco<br>Mi sono salvata dalle fiamme grazie a un giovane vigile del fuoco.<br>I was saved from the fire thanks to a young firefighter.
Salesperson	Commesso<br>Ha ottenuto un posto come commesso in un negozio di scarpe sportive.<br>He got a job as a salesperson in a sports shoe shop.
Translator	Traduttore<br>Non riesco a trovare un buon traduttore da giapponese a inglese.<br>I can’t find a good translator from Japanese to English.
Pilot	Pilota<br>Quando lavorava come pilota, ha volato in tutto il mondo.<br>When he worked as a pilot, he flew all over the world.
Author	Autore<br>Chi è l’autore di questo romanzo? Ho amato ogni singola pagina.<br>Who’s the author of this novel? I have loved every single page.
Midwife	Ostetrica<br>Un'ostetrica è un'infermiera che aiuta le donne a dare alla luce i loro figli.<br>A midwife is a nurse who helps women give birth to their children.
Surgeon	Chirurgo<br>Un chirurgo è incaricato di eseguire le operazioni.<br>A surgeon is in charge to perform operations.
Matron	Caposala<br>Una caposala ha il controllo su tutte le infermiere.<br>A matron has control over all the nurses.
President	Presidente<br>Ha iniziato la sua carriera come fattorino e ora è il presidente della società.<br>He started his career as a delivery man and now he is the president of the
Law	Legge<br>Le scommesse sono punite dalla legge.<br>Betting is punished by law.
Commit a crime	Commettere un crimine<br>Il numero di giovani che commettono un crimine è aumentato notevolmente.<br>The number of young people who commit a crime has recently risen sharply.
Burglary	Furto<br>Questo è il terzo furto nella zona nel mese scorso.<br>This is the third burglary in the area in the past month.
Imprisonment	Prigione<br>Il giudice lo ha condannato a sette anni di prigione.<br>The judge sentenced him to seven years' imprisonment.
Verdict	Verdetto<br>Dopo dodici ore, la giuria ha finalmente raggiunto il suo verdetto.<br>After twelve hours, the Jury finally reached its verdict.
Guilty	Colpevole<br>Il prigioniero era colpevole di rapina a mano armata.<br>The prisoner was guilty of armed robbery.
Proof	Prova<br>La polizia non aveva prova certa che fosse coinvolto nella rapina.<br>The police had no definite proof he was involved in the robbery.
Arrest	Arrestare<br>La polizia è andata ad arrestare il ladro fuori da un pub a Soho.<br>The police went to arrest the burglar outside a pub in Soho.
Shoplifting	Taccheggio<br>Il negozio ha installato la TV a circuito chiuso per combattere il taccheggio.<br>The shop installed closed-circuit TV to combat shoplifting.
Murder	Omicidio<br>Il mio vicino fu accusato di omicidio.<br>My neighbour was charged with murder.
Delinquent	Delinquente<br>Un delinquente giovanile è un giovane che infrange la legge.<br>A juvenile delinquent is a young person who breaks the law.
Witness	Testimone<br>Un testimone è qualcuno che vede commettere un crimine.<br>A witness is someone who sees a crime being committed.
Court	Tribunale<br>L'avvocato prepara il caso per il suo cliente prima di comparire in tribunale.<br>The lawyer prepares the case for his client prior to appearing before the court.
Bail	Cauzione<br>Fu liberato grazie al pagamento di una cauzione.<br>He was set free thanks to the payment of a bail.
Embezzlement	Appropriazione indebita<br>Il direttore della banca fu dichiarato colpevole di appropriazione indebita.<br>The bank manager was found guilty of embezzlement.
Offence	Reato<br>Poiché era il suo primo reato, non fu mandato in prigione.<br>Since it was his first offence, he was not sent to prison.
Probation	Libertà vigilata<br>La donna è stata messa in libertà vigilata per sei mesi.<br>The woman was put on probation for six months.
Arson	Incendio doloso<br>Questo è il quarto incendio nella zona. La polizia sospetta un incendio doloso.<br>This is the fourth fire in the area. The police suspect arson.
Testimony	Testimonianza<br>La dichiarazione formale di un testimone in tribunale è chiamata<br>testimonianza.
Trial	Processo<br>È dovuto andare in tribunale per il processo.<br>He had to go to court for trial.
Degree	Grado<br>Gli hanno fatto il terzo grado ma non ha saputo dire nulla.<br>He was subject to the third degree but he could not say anything.
Silver	Argento<br>Che bella collanina! È argento, vero?<br>What a beautiful necklace! It's silver, isn’t it?
Coal	Carbone<br>L'Italia non ha miniere di carbone, che io sappia.<br>Italy has no coal mines, as far as I know.
Paper	Carta<br>Lo scriverò su un pezzo di carta.<br>I will write it down on a piece of paper.
Cement	Cemento<br>Ha picchiato la testa sul cemento e ha avuto un trauma cranico.<br>He hit his head on the cement and had a head trauma.
Cotton	Cotone<br>Il tessuto in cotone è meglio dell’acrilico.<br>Cotton fabric is better than acrylic.
Gold	Oro<br>L'oro è molto più costoso dell'argento!<br>Gold is much more expensive than silver!
Silk	Seta<br>Le lenzuola di seta sono meglio di quelle di cotone.<br>Silk sheets are better than cotton ones.
Checkered	A quadretti<br>In quel ristorante hanno delle tovaglie a quadretti molto carine.<br>They have very nice checkered tablecloths in that restaurant.
Solid	Tinta unita<br>Preferisci una gonna in tinta unita o una a fantasia?<br>Do you prefer a solid color skirt or a patterned one?
Polka dot	A pois<br>Le gonne a pois sono di moda questa stagione.<br>Polka dot skirts are on fashion this season.
Material	Materiale<br>Il materiale di quella borsa è molto innovativo.<br>The material of that bag is very innovative.
Wool	Lana<br>Ho sempre sognato di comprare un vero maglione di lana.<br>I have always dreamt of buying a real wool sweater.
Linen	Lino<br>Il lino è più fresco nei periodi caldi.<br>Linen is cooler in hot weather.
Striped	A righe<br>La mia t-shirt preferita è quella a righe.<br>My favourite t-shirt is the striped one.
Plaid	Scozzese<br>Quando andavo a scuola indossavo una gonna scozzese.<br>I used to wear a plaid skirt when I was in school.
Pound	Libbra<br>Qual è la conversione tra libbra e chilogrammo?<br>What is the conversion between pound and kilo?
Celsius	Celsius<br>Non mi ricordo mai la proporzione tra Celsius e Fahrenheit.<br>I never remember the ratio between Celsius and Fahrenheit.
Fahrenheit	Fahrenheit<br>I gradi possono essere misurati in gradi Celsius o Fahrenheit.<br>Degrees can be measured in Celsius or Fahrenheit.
Measure	Misurare<br>Non è possibile misurare le cose a vista.<br>It is not possibile to measure things at sight.
Mile	Miglio<br>L'ultimo miglio della maratona è quello più difficile.<br>The last mile of the marathon is the most difficult.
Inch	Pollice<br>Quanti centimetri equivalgono a un pollice?<br>How many centimetres are equal to an inch?
Centimeter	Centimetro<br>Sono alto 170 centimetri.<br>I am 170 centimetres tall.
Kilogram	Chilogrammo<br>Il mio cane pesa solo 10 chilogrammi. Il tuo?<br>My dog weighs only 10 kilograms. What about yours?
Gram	Grammo<br>Se solo aggiungi un grammo in più all’impasto, il risultato cambia.<br>If you only add one more gram to the dough, the result changes.
Liter	Litro<br>Ha bevuto un litro di vino.<br>He drank one liter of wine.
Kilometer	Chilometro<br>Corre a 10 chilometri all’ora.<br>He runs 10 kilometres/hr.
Month	Mese<br>Vado dal parrucchiere una volta al mese, a volte anche di più.<br>I go to the hairdresser once a month, sometimes even more.
January	Gennaio<br>Il mese di gennaio è stato freddissimo, con temperature mai registrate prima.<br>The month of January was very cold, with temperatures never recorded before.
February	Febbraio<br>Febbraio è il mese degli innamorati.<br>February is the lovers' month.
March	Marzo<br>La primavera inizia il 21 marzo.<br>Spring starts on March 21st.
April	Aprile<br>In aprile compirò 18 anni. Verrai alla mia festa?<br>I will turn 18 in April. Will you come to my party?
May	Maggio<br>Il mese di maggio è sempre molto impegnativo per la mia attività.<br>May is always very demanding for my business.
June	Giugno<br>La scuola in Italia finisce a giugno e riprende a settembre.<br>School in Italy ends in June and restarts in September.
July	Luglio<br>Il mese di luglio è il più caldo in Italia.<br>July is the hottest month in Italy.
August	Agosto<br>In Italia si festeggia il 15 agosto al mare.<br>In Italy, people celebrate August 15th at the seaside.
September	Settembre<br>Settembre è il mese della vendemmia.<br>September is the grape harvest month.
October	Ottobre<br>Compie gli anni nel mese di ottobre, ma non ricordo il giorno.<br>His birthday is in October, but I do not remember the day.
November	Novembre<br>Inizio a preparare l’albero di Natale a novembre.<br>I start preparing the Christmas tree in November.
December	Dicembre<br>Il mese di dicembre è quello che preferisco. Ci sono molte feste.<br>The month of December is my favorite. There are many festivities.
Year	Anno<br>Ho lavorato in quel negozio per un anno.<br>I have worked in that shop for one year.
Calendar	Calendario<br>Guarda sul calendario che giorno è il prossimo mercoledì.<br>Look in the calendar what day next Wednesday is.
Holiday	Festività<br>Il 25 dicembre è una festività ufficiale.<br>December 25th is an official public holiday.
Halloween	Halloween<br>Halloween è la notte prima di Ognissanti.<br>Halloween is the night before All Saints.
St. Valentines’s day	S. Valentino<br>San Valentino è il giorno delle persone innamorate.<br>St. Valentine’s day is the day of people in love.
Boxing Day	Santo Stefano<br>Santo Stefano è il giorno dopo Natale.<br>Boxing Day is the day after Christmas Day.
Christmas Day	Natale<br>Natale è il giorno in cui Gesù è nato.<br>Christmas Day is on the day when Jesus was born.
New Year’s Eve	Capodanno<br>L'ultimo giorno dell'anno è chiamato Capodanno.<br>The last day of the year is called New Year’s Eve.
Independence Day	Giorno dell’Indipendenza<br>Il Giorno dell'Indipendenza è il giorno in cui l'America è diventata indipendente<br>dall'Inghilterra.
Easter	Pasqua<br>La Pasqua celebra la risurrezione di Gesù.<br>Easter celebrates the resurrection of Jesus.
Snow	Neve<br>Non abbiamo visto la neve quest’anno.<br>We haven’t seen snow this year.
Thunderstorm	Temporale<br>Il forte temporale di ieri ha abbattuto centinaia di alberi.<br>Yesterday's heavy thunderstorm knocked down hundreds of trees.
Fog	Nebbia<br>Nella Pianura Padana la nebbia a volte è molto fitta.<br>In the Po Valley, fog can be very thick sometimes.
Cloud	Nuvola<br>Guarda! C’è una nuvola a forma di serpente.<br>Look! There is a snake shaped cloud.
Sun	Sole<br>In Sicilia splende sempre il sole, che fortunati!<br>The sun always shines in Sicily, how lucky!
Wind	Vento<br>A Trieste il vento soffia a diversi km all’ora.<br>In Trieste the wind blows at several km/hour.
Rain	Pioggia<br>Le previsioni annunciano pioggia per domani.<br>Tomorrow’s forecasts announce rain.
Hail	Grandine<br>La grandine di ieri era grande come una pallina da tennis.<br>Yesterday's hail was as big as a tennis ball.
Ice	Ghiaccio<br>Metti del ghiaccio nel caffè così farai il caffè freddo.<br>Put some ice in the coffee so that you'll have an iced coffee.
Tree	Albero<br>L’albero di fronte alla scuola è stato abbattuto.<br>The tree in front of the school was knocked down.
Flood	Alluvione<br>C’è stata una alluvione molto forte in Tailandia la scorsa settimana.<br>There was a very strong flood in Thailand last week.
Rainbow	Arcobaleno<br>Dopo un temporale, c’è sempre un arcobaleno.<br>After a storm, there is always a rainbow.
Field	Campo<br>Su quel campo verrà costruita una nuova casa.<br>On that field a new house will be built.
Bush	Cespuglio<br>Il ladro si è nascosto dietro il cespuglio quando ha visto la polizia.<br>The thief hid behind the bush when he saw the police.
Waterfall	Cascata<br>Da quella strada in montagna si può vedere una bellissima cascata.<br>From that road in the mountains you can see a beautiful waterfall.
Hill	Collina<br>Da quella collina si vede un panorama stupendo.<br>From that hill you can see a wonderful landscape.
Desert	Deserto<br>“Dimmi il nome di un animale che vive nel deserto” “Il cammello?”<br>"Tell me the name of an animal that lives in the desert” "The camel?”
Grass	Erba<br>Non camminare sull’erba, grazie.<br>Don't walk on the grass, please.
Weed	Erbaccia<br>Bisogna togliere le erbacce prima di seminare.<br>Weeds must be removed before sowing.
River	Fiume<br>Il Tevere è il fiume che passa per Roma.<br>The Tiber is the river passing through Rome.
Lily	Giglio<br>Il giglio è il simbolo di Firenze.<br>Lily is the symbol of Florence.
Fire	Fuoco<br>Esce del fuoco da quella casa. Chiama i pompieri!<br>There is a fire coming from that house. Call the firemen!
Gas	Gas<br>Da dove viene questo odore di gas?<br>Where does this smell of gas come from?
Island	Isola<br>La Sardegna è un’isola molto popolare d’estate.<br>Sardinia is a very popular island in the summer.
Mountain	Montagna<br>Molte persone amano trascorrere le loro vacanze in montagna.<br>Many people love spending their holidays in the mountains.
